hafasId;rmvId;name;nameLong;city;district;lat;lng
3000108;108;Mönchhofstraße;Frankfurt (Main) Mönchhofstraße;Stadt Frankfurt a.M;Gallusviertel;50,10040637;8,617134144
3000105;105;Ordnungsamt;Frankfurt (Main) Ordnungsamt;Stadt Frankfurt a.M;Gallusviertel;50,09882369;8,633709
3000156;156;Paul-Hindemith-Schule;Frankfurt (Main) Paul-Hindemith-Schule;Stadt Frankfurt a.M;Gallusviertel;50,1057579;8,63455066
3060823;60823;Platz der Einheit;Frankfurt (Main) Platz der Einheit;Stadt Frankfurt a.M;Gallusviertel;50,11077853;8,653427375
3000009;9;Platz der Republik;Frankfurt (Main) Platz der Republik;Stadt Frankfurt a.M;Gallusviertel;50,10917446;8,661267526
3000106;106;Rebstöcker Straße;Frankfurt (Main) Rebstöcker Straße;Stadt Frankfurt a.M;Gallusviertel;50,10156801;8,62876801
3000131;131;Römerhof;Frankfurt (Main) Römerhof;Stadt Frankfurt a.M;Gallusviertel;50,10767512;8,618515959
3060809;60809;Römischer Ring;Frankfurt (Main) Römischer Ring;Stadt Frankfurt a.M;Gallusviertel;50,10881034;8,633199345
3000159;159;Schloßborner Straße;Frankfurt (Main) Schloßborner Straße;Stadt Frankfurt a.M;Gallusviertel;50,10452342;8,622454933
3000132;132;Schmidtstraße;Frankfurt (Main) Schmidtstraße;Stadt Frankfurt a.M;Gallusviertel;50,10374521;8,618169816
3000157;157;Schneidhainer Straße;Frankfurt (Main) Schneidhainer Straße;Stadt Frankfurt a.M;Gallusviertel;50,10530194;8,629689637
3000102;102;Schwalbacher Straße;Frankfurt (Main) Schwalbacher Straße;Stadt Frankfurt a.M;Gallusviertel;50,1023022;8,636324192
3000019;19;Speyerer Straße;Frankfurt (Main) Speyerer Straße;Stadt Frankfurt a.M;Gallusviertel;50,10555658;8,650907056
3060811;60811;Stephensonstraße;Frankfurt (Main) Stephensonstraße;Stadt Frankfurt a.M;Gallusviertel;50,10846098;8,642232684
3000107;107;Wickerer Straße;Frankfurt (Main) Wickerer Straße;Stadt Frankfurt a.M;Gallusviertel;50,10096393;8,622664658
3001202;1202;Adalbert-/Schloßstraße;Frankfurt (Main) Adalbert-/Schloßstraße;Stadt Frankfurt a.M;Bockenheim;50,11903787;8,643621888
3001245;1245;An der Dammheide;Frankfurt (Main) An der Dammheide;Stadt Frankfurt a.M;Bockenheim;50,11716723;8,631904988
